Start,End,Sleep Quality,Regularity,Steps,City,Movements per hour,Time in bed (hrs),Time asleep (hrs),Time before sleep (mins),Did snore,Snore time (mins),Weather temperature (°F)
2021-08-02 00:14:34,2021-08-02 08:21:47,0.84,0.0,0,Jericho,77.4,8.1,7.1,10,True,95,32.0
2021-08-03 01:35:23,2021-08-03 09:27:30,0.74,0.0,0,Jericho,81.0,7.9,6.8,9,True,76,32.0
2021-08-04 01:49:16,2021-08-04 09:48:03,0.72,0.95,0,Jericho,115.3,8.0,7.4,10,True,100,32.0
2021-08-05 00:04:49,2021-08-05 09:10:36,0.95,0.88,0,Jericho,86.8,9.1,8.2,11,True,65,32.0
2021-08-07 02:05:17,2021-08-07 10:18:08,0.73,0.77,0,Jericho,130.8,8.2,6.9,10,True,120,32.0
2021-08-12 00:17:47,2021-08-12 06:16:30,0.62,0.0,0,Jericho,96.3,6.0,5.9,7,True,34,32.0
2022-04-15 23:08:37,2022-04-16 06:46:38,0.74,0.0,0,Jericho,48.4,7.6,6.9,14,True,83,32.0
2022-04-16 23:01:03,2022-04-17 07:08:24,0.77,0.96,0,Jericho,78.0,8.1,7.5,37,True,80,32.0
2024-03-29 05:45:30,2024-03-29 12:44:00,0.68,0.0,8874,Los Angeles,119.1,7.0,5.3,8,True,151,47.5
2024-03-30 06:14:31,2024-03-30 13:18:31,0.73,0.91,13906,Los Angeles,116.7,7.1,5.7,8,True,123,51.8
2024-04-01 03:49:15,2024-04-01 09:57:59,0.68,0.72,6854,Los Angeles,72.4,6.1,5.4,7,True,93,46.2
2024-04-02 05:18:21,2024-04-02 12:19:40,0.67,0.6,13534,Los Angeles,217.3,7.0,6.1,8,True,129,46.0
2024-04-02 05:18:21,2024-04-02 12:19:40,0.67,0.6,13534,Los Angeles,217.3,7.0,6.1,8,True,129,46.0
2024-04-03 06:09:53,2024-04-03 12:36:57,0.64,0.79,22361,Los Angeles,194.3,6.5,5.4,8,True,124,51.3
2024-04-04 04:31:37,2024-04-04 13:12:08,0.81,0.8,0,Los Angeles,223.4,8.7,7.4,19,False,0,50.2
2024-04-06 04:09:31,2024-04-06 13:47:02,0.96,0.87,8927,Los Angeles,131.1,9.6,8.7,12,True,255,37.2
2024-04-07 05:39:59,2024-04-07 13:21:50,0.82,0.88,13026,Los Angeles,130.4,7.7,6.7,20,True,178,39.4
2024-04-08 05:45:47,2024-04-08 12:49:41,0.65,0.89,8271,Los Angeles,195.7,7.1,6.3,8,True,134,43.0
2024-04-09 05:10:15,2024-04-09 13:43:52,0.8,0.89,11356,Los Angeles,193.1,8.6,6.7,10,True,146,49.6
2024-04-10 03:30:09,2024-04-10 13:00:19,0.84,0.87,17032,Los Angeles,195.5,9.5,7.9,11,True,133,47.1
2024-04-11 06:14:58,2024-04-11 13:40:46,0.66,0.8,13979,Los Angeles,222.3,7.4,6.7,9,True,62,52.9
2024-04-12 06:05:52,2024-04-12 14:14:57,0.7,0.82,12801,Los Angeles,239.6,8.2,6.4,10,True,62,52.3
2024-04-13 05:58:30,2024-04-13 13:31:00,0.78,0.86,16523,Los Angeles,165.6,7.5,6.0,9,True,226,50.7
2024-04-15 06:49:33,2024-04-15 13:06:53,0.66,0.91,2533,Los Angeles,158.0,6.3,5.6,8,True,89,41.4
2024-04-16 06:06:48,2024-04-16 13:58:05,0.65,0.88,17030,Los Angeles,258.7,7.9,7.1,9,True,121,41.4
2024-04-17 04:59:59,2024-04-17 12:56:02,0.72,0.85,13858,Los Angeles,228.4,7.9,7.4,10,True,131,52.0
2024-04-17 04:59:59,2024-04-17 12:56:02,0.72,0.85,13858,Los Angeles,228.4,7.9,7.4,10,True,131,52.0
2024-04-18 05:51:19,2024-04-18 14:22:34,0.83,0.83,14327,Los Angeles,202.0,8.5,7.2,10,True,71,51.4
2024-04-20 06:19:59,2024-04-20 14:27:18,0.81,0.88,12724,Los Angeles,189.4,8.1,6.8,10,True,261,50.2
2024-04-20 06:19:59,2024-04-20 14:27:18,0.81,0.88,12724,Los Angeles,189.4,8.1,6.8,10,True,261,50.2
2024-04-22 06:14:19,2024-04-22 12:51:44,0.57,0.86,7951,Los Angeles,252.8,6.6,5.7,37,True,106,53.2
2024-04-23 07:03:09,2024-04-23 12:35:46,0.53,0.88,12633,Los Angeles,216.5,5.5,4.3,7,True,135,55.9
2024-04-24 06:34:13,2024-04-24 15:03:24,0.75,0.83,13557,Los Angeles,245.9,8.5,7.6,10,True,124,47.5
2024-04-25 07:20:36,2024-04-25 15:33:22,0.78,0.85,14066,Los Angeles,219.7,8.2,7.3,10,True,136,52.9
2024-04-26 06:18:10,2024-04-26 15:31:42,0.83,0.85,9160,Los Angeles,234.1,9.2,8.1,11,True,158,49.3
2024-04-27 06:01:23,2024-04-27 15:04:50,0.94,0.91,17108,Los Angeles,180.2,9.1,8.0,11,True,159,52.2
2024-04-29 07:06:31,2024-04-29 15:31:41,0.86,0.91,0,Los Angeles,191.1,8.4,7.2,10,False,0,55.0
2024-04-30 06:45:54,2024-04-30 14:29:20,0.84,0.88,13147,Los Angeles,162.3,7.7,6.3,9,True,130,52.2
2024-05-01 05:24:51,2024-05-01 14:39:43,0.82,0.88,12848,Los Angeles,235.7,9.2,8.3,11,True,198,54.9
2024-05-02 07:13:48,2024-05-02 15:33:31,0.65,0.84,7883,Los Angeles,294.2,8.3,7.4,10,True,146,53.2
2024-05-06 05:56:36,2024-05-06 13:29:27,0.74,0.0,5783,Los Angeles,211.6,7.5,6.6,9,True,43,47.5
2024-05-06 05:56:36,2024-05-06 13:29:27,0.74,0.0,5783,Los Angeles,211.6,7.5,6.6,9,True,43,47.5
2024-05-07 06:49:19,2024-05-07 13:21:37,0.66,0.92,12488,Los Angeles,199.7,6.5,5.3,33,True,101,49.8
2024-05-08 07:10:04,2024-05-08 15:02:09,0.87,0.87,15459,Los Angeles,160.4,7.9,5.9,9,True,105,53.2
2024-05-10 07:54:36,2024-05-10 14:00:22,0.7,0.84,12676,Los Angeles,141.2,6.1,5.4,7,True,120,53.8
2024-05-13 05:23:42,2024-05-13 11:25:47,0.6,0.58,15514,Los Angeles,204.3,6.0,5.2,7,True,59,53.4
2024-05-14 05:20:03,2024-05-14 14:25:55,0.95,0.74,11812,Los Angeles,182.3,9.1,7.6,11,True,149,53.1
2024-05-15 06:15:55,2024-05-15 15:37:05,0.98,0.78,10723,Los Angeles,169.2,9.4,8.2,36,True,88,54.3
2024-05-16 07:11:46,2024-05-16 15:22:04,0.76,0.82,12301,Los Angeles,227.3,8.2,6.4,10,True,93,55.4
2024-05-17 07:38:42,2024-05-17 15:46:08,0.71,0.88,13417,Los Angeles,253.9,8.1,7.5,10,True,152,56.3
2024-05-19 07:35:29,2024-05-19 15:31:57,0.81,0.95,12870,Los Angeles,195.2,7.9,6.6,10,True,195,51.1
2024-05-20 06:57:51,2024-05-20 15:34:41,0.88,0.96,8456,Los Angeles,197.0,8.6,7.7,17,True,93,52.7
2024-05-21 06:01:14,2024-05-21 14:58:00,0.88,0.91,10493,Los Angeles,208.4,8.9,7.6,11,True,139,51.8
2024-05-22 07:35:34,2024-05-22 15:56:04,0.79,0.87,11960,Los Angeles,222.2,8.3,7.7,10,True,141,53.2
2024-05-24 07:11:32,2024-05-24 15:24:45,0.64,0.86,8815,Los Angeles,290.9,8.2,6.9,10,True,109,55.6
2024-05-26 06:57:00,2024-05-26 15:45:28,0.97,0.95,9759,Los Angeles,165.8,8.8,8.2,11,True,98,52.0
2024-05-28 07:11:10,2024-05-28 14:55:08,0.7,0.91,11096,Los Angeles,246.1,7.7,6.6,9,True,51,53.4
