Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2021-08-02 00:14:34;2021-08-02 08:21:47;84%;0%;;0;0;Normal;100.2;;77.4;29232.6;25529.8;584.7;2021-08-02 08:00:00;2021-08-02 08:30:00;true;5706.1;32.0;No weather;
2021-08-03 01:35:23;2021-08-03 09:27:30;74%;0%;;0;0;Normal;101.0;;81.0;28326.2;24549.4;566.5;2021-08-03 09:00:00;2021-08-03 09:30:00;true;4550.3;32.0;No weather;
2021-08-04 01:49:16;2021-08-04 09:48:03;72%;95%;;0;0;Normal;101.0;;115.3;28726.9;26524.5;574.5;2021-08-04 09:30:00;2021-08-04 10:00:00;true;5983.7;32.0;No weather;
2021-08-05 00:04:49;2021-08-05 09:10:36;95%;88%;;0;0;Normal;101.0;;86.8;32747.1;29363.3;654.9;2021-08-05 08:45:00;2021-08-05 09:15:00;true;3898.0;32.0;No weather;
2021-08-07 02:05:17;2021-08-07 10:18:08;73%;77%;;0;0;Normal;101.1;;130.8;29570.5;24839.3;591.4;2021-08-07 10:00:00;2021-08-07 10:30:00;true;7183.7;32.0;No weather;
2021-08-12 00:17:47;2021-08-12 06:16:30;62%;0%;;0;0;Normal;100.6;;96.3;21523.3;21092.8;430.5;2021-08-12 09:00:00;2021-08-12 09:30:00;true;2062.9;32.0;No weather;
2022-04-15 23:08:37;2022-04-16 06:46:38;74%;0%;;0;0;Normal;100.9;;48.4;27480.6;25007.3;824.4;2022-04-16 06:40:00;2022-04-16 07:10:00;true;4977.6;32.0;No weather;
2022-04-16 23:01:03;2022-04-17 07:08:24;77%;96%;;0;0;Normal;100.4;;78.0;29240.8;26999.0;2241.8;2022-04-17 07:05:00;2022-04-17 07:35:00;true;4811.7;32.0;No weather;
2024-03-29 05:45:30;2024-03-29 12:44:00;68%;0%;Good;0;8874;Normal;99.5;Los Angeles;119.1;25109.8;18999.8;502.2;2024-03-29 12:30:00;2024-03-29 13:00:00;true;9040.0;47.5;Fog;
2024-03-30 06:14:31;2024-03-30 13:18:31;73%;91%;Good;0;13906;Normal;98.7;Los Angeles;116.7;25440.2;20606.5;508.8;2024-03-30 14:00:00;2024-03-30 14:30:00;true;7380.9;51.8;Rain;Daylight:Good day:Nap:Tired:Worked out
2024-04-01 03:49:15;2024-04-01 09:57:59;68%;72%;Good;0;6854;Normal;99.4;Los Angeles;72.4;22123.7;19468.8;442.5;2024-04-01 09:45:00;2024-04-01 10:15:00;true;5567.0;46.2;Cloudy;
2024-04-01 22:50:39;2024-04-01 23:18:13;5%;-0%;Good;0;10661;Normal;99.9;Los Angeles;0.0;1654.4;0.0;0.0;2024-04-01 23:10:00;2024-04-01 23:10:00;true;569.0;59.5;Sunny;
